Column1;Review;Category;Sentiment
248;Todo estuvo ESPECTACULAR!;comida;5
249;Sin embargo, el camarero que nos atendió fue bastante desagradable y cortante, en ningún momento se acercó para preguntarnos qué tal estaba la cena sino que únicamente se refirió a nosotros;servicio;1
250;No solo el entorno merece una visita, también su cuidada cocina, con productos de primera cocinados a la perfección.Servicio eficaz, eficiente, amable, profesional .Preparados para el Covid 💯Personal con mascarillas, distancias perfectas entre mesas, se veía todo muy cuidado y limpio, los;servicio;5
251;La cena en general fue muy bien .;comida;4
252;Fuimos a cenar dos parejas , no teníamos reserva pero nos acoplaron rápido,el lugar llama la atención, mucho personal y atentos.le pedimos consejo al camarero y se excusó pues era nuevo y el pobre no sabía, rápidamente se acerco el meitre y nos aconsejó;servicio;4
253;Como todos los anteriores comentarios, una pena que un sitio tan bonito tenga un servicio tan pobre y poco dedicado al cliente.;servicio;1
254;La comida, que antes era excelente, de capa caída.;comida;2
255;Poco simpáticos.no había vuelto desde la última vez,hace a lo major 2 años.;servicio;1
256;La mejor carne que he probado, todos los camareros muy amables y el sitio era muy agradable.;comida;5
257;No podría haber cenado mejor;comida;5
258;MEJOR IMPOSIBLE.El sitio, la comida, el servicio.. Un 10.Todo buenisimo!!!;servicio;5
259;De los mejores sitios a nivel de todo que he visitado, comida muy rica, servicio muy atento y educados, el sitio y el entorno de 10 no, de 12, relacion calidad precio no puede ser mejor y en verano que nunca he estado tiene que;servicio;5
260;Sitio elegante, algo caro, pero sigue siendo el Filandon.;precio;2
261;Es algo caro pero la calidad de;precio;2
262;La comida en general bien, pero las famosos patas de pulpo, una de ellas disecada y;comida;1
263;Lamento profundamente la imagen que tengo de impotencia de este restaurante después de mi visita el pasado 26 de febrero, que como siempre estaba al completo.Comento lo ocurrido, pedí una copa de vino de la casa, el camarero me indico que no había de;servicio;1
264;El entorno sobresaliente, la atención sobresaliente la comida sobresaliente.Tomamos Al centro un plato de jamón ibérico, unas alcachofas;servicio;5
265;Un caos de organización, para no aburriros sólo dos datos,;servicio;1
266;La atención es muy buena, desde que te reciben en la entrada hasta que sales.;servicio;5
267;En cuanto a la comida, todo es de primera calidad.;comida;5
268;Restaurante de moda con muy buen ambiente y trato agradable.;servicio;5
269;El fallo, el precio, muy hinchado tanto en la carta de comidas como en la;precio;2
270;PEXPECTACULAR, el precio,la atención y la calidad de los productos, probamos los pescados  a la brasa  las croquetas de bogavante impresionantes;servicio;5
271;Es excepcional la atención que recibo siempre siempre, por parte de Alex, una de las recepcionistas;servicio;5
272;Restaurante muy agradable, amplio, tranquilo, una decoración bonita, un sitio muy especial.Excelente atención, servicio rápido, atento, amableExcelente materia prima, platos deliciosos.Excelente tanto para una comida de negocios, como para una cena romántica.No es un restaurante económico, pero merece totalmente la pena.;servicio;5
273;Un sitio agradable para tomar un buen pescado.;comida;4
274;El rodaballo y las croquetas de carabinero espectaculares.;comida;5
275;Calidad-precio razonable.;precio;3
276;La comida es de productos de gran calidad, los pescados a la parrilla fabulosos.;comida;5
277;El precio no es bajo pero asumible por la comida.;precio;3
278;Es un sitio grande, estética sencilla y moderna, mesas no juntas pero que concentra muuucha gente,  aunque el servicio estuvo en;servicio;4
279;Un servicio correcto pero les falta ser más amables o serviciales.;servicio;2
280;El producto es espectacular, la atención increíble y el sitio es precioso y muy acogedor.;servicio;5
281;Para mi el mejor restaurante calidad - precio;precio;5
282;Trato chulesco sin motivo, la calidad de los productos es indiscutible pero los camareros te pueden arruinar la cena.;servicio;1
283;Se nota cierto trato;servicio;3
284;El sitio es una delicia, muy bonito y agradable y la comida y el servicio es muy bueno.;servicio;5
285;La atención es esmerada y la calidad fantástica El precio no es escandaloso;servicio;5
286;Me gusto, la comida rica y el sitio agradable, por poner un pero es un restaurante grande y a mi me gustan más lis sitios más recogidos y personales.;comida;5
287;Buen servicio y rápido .;servicio;5
288;La comida es deliciosa.;comida;5
289;Lo primero que cabe resaltar es la excelente calidad de producto, una  buena parrilla, regado por unos magníficos vinos (un poco elevados de precio) un personal mas que correcto, en un lugar muy agradable, y todo esto se convierte en un lugar único para disfrutar;precio;3
290;Filandon un restaurante fuera de categoría extraordinario, puesto con un exquisito gusto, y con una materia prima de superior calidad, precios en consonancia pero perfectamente asumibles, el servicio profesional y acorde al nivel del restaurante, si quieres comer el mejor pescado del mundo, éste es;servicio;5
291;La comida muy buena, el servicio muy correcto y el entorno espectacular.;servicio;5
292;Mala atención, no lo recomiendo.;servicio;1
293;Atento y adecuado relación calidad - precio razonable .;precio;3
294;La comida es deliciosa.;comida;5
295;Lo primero que cabe resaltar es la excelente calidad de producto, una  buena parrilla, regado por unos magníficos vinos (un poco elevados de precio) un personal mas que correcto, en un lugar muy agradable, y todo esto se convierte en un lugar único para disfrutar;precio;5
296;Filandon un restaurante fuera de categoría extraordinario, puesto con un exquisito gusto, y con una materia prima de superior calidad, precios en consonancia pero perfectamente asumibles, el servicio profesional y acorde al nivel del restaurante, si quieres comer el mejor pescado del mundo, éste es;precio;5
297;La comida muy buena, el servicio muy correcto y el entorno espectacular.;comida;5
298;Mala atención, no lo recomiendo.;servicio;1
299;Sitio muy majo, pero con un servicio muy malo.;servicio;2
300;Servicio en mesa.;servicio;1
301;Atento y adecuado relación calidad - precio razonable .;precio;3
302;Buena atención, y mejor comida .;servicio;5
303;Baños en la planta superior.Qué pena que empleados tan torpes;servicio;1
304;La comida es buena, los pescados a la brasa buenísimos, pero la atención de los camareros pésima, la bebida que pedimos al principio tardo sus buenos 20 minutos, el caso es que había bastantes camareros pululando;comida;3
305;La atención es extraordinaria y la comida muy buena.;comida;4
306;No es barato pero la calidad es grande.;precio;4
307;Por decir algo negativo, las almejas y el bogavante;servicio;1
308;La comida fenomenal, de 10.;comida;5
309;El servicio no fue a la altura.;servicio;1
310;Cuando entramos no nos indicaron que hay armarios (nos dimos cuenta nosotros en medio de la cena), de modo que nuestros abrigos largos quedaron manchados.;precio;2
311;El camarero;servicio;3
312;Hemos comido muy bien, la atención un 10.;comida;5
313;No había comido nunca algo tan bueno;comida;5
314;por motivos de trabajo reservaron en este restaurante apartado un poco de la ciudad, y muy bien, se aparca fenomenal y comimos muy bien, de precio me imagino que algo caro pero no lo se porque pago el jefe, pendiente volver con mi marido, volvere;precio;4
315;Y caro.;precio;1
316;Camareros superamables y atentos.Las croquetas de carabinero excepcionales de textura y sabor, el arroz con almejas estaba bueno, punto, la ensaladilla rusa exquisita y las rabitas de calamar graciosas.pero veníamos por los;servicio;5
317;Respecto al precio ya lo sabíamos  pero la calidad lo justifica;precio;3
318;Lo peor no fue eso sino el trato recibido por el encargado, una persona arrogante y con muy malos modales, diciendo;servicio;1
319;Hemos disfrutado de un día d cumpleaños inmejorable.Precio elevado?;precio;2
320;En un restaurante con buen producto, un entorno inmejorable, buena de oración y pagando 60€ por persona por cena sin copa es inadmisible un servicio que no esté a la altura, no fueron profesionales, sirvieron como en un comedero y se permitían respuestas demasiado coloquiales .;precio;5
321;La comida bien, tanto en calidad como en cantidad y lo dice;comida;4
322;Merece la pena desplazarse a una comida de negocios o en familia si lo que quieren es degustar buen producto a un precio aceptable dentro de Madrid.Todo, el entorno y el servicio hace que merezca la pena.;precio;4
323;El local es muy amplio, su decoración muy agradable y cuenta con una terraza y jardín preciosos.Muy buena materia prima a buen precioGran bodega;precio;5
324;Muy buena calidad y muy buena atención.El arroz con carabineros muy rico, el rodaballo espectacular.Los postres deliciosos;servicio;5
325;Restaurante muy agradable, atención del personal fantástica y la calidad de la comida buenísima.;servicio;5
326;Nos recomendaron un pescado de temporada que estaba espectacular (romerete, un tipo de mero), entrantes estupendos y buenos postres.;comida;4
327;Buena comida pero el servicio sobre todo en la recepción del restaurante absolutamente pateticoPrácticamente te perdonan la vida Nada recomendable;comida;5
328;Espectacular restaurante donde degustar una carta variada.;comida;5
329;Tomamos unas alcachofas de entrante muy ricas.;comida;4
330;En realidad todo estaba buenísimo.;comida;5
331;Los pescados realmente espectaculares.;comida;5
332;Todo realmente bueno.Los postres espectaculares.;comida;5
333;Una tarta de queso y una de manzana.La atención muy correcta, y el local impresiona, grande y;comida;4
334;Precio: 75 euros/persona.;precio;1
335;Comida de muy buena calidad.;comida;5
336;"Excelente el besugo y el tartar de atún; el pulpo a la brasa, discreto y el ceviche no me llamó la atención.";comida;5
337;Me encantan las sobremesas en este restaurante Aunque tiene muchas mesas es recomendable hacer reserva Es caro;precio;4
338;El sitio es precioso, la comida muy bien..El servicio no demasiado amable.;servicio;4
339;Los abrigos los colgaron en un armario inundado en el suelo..al sacarlos, una chaqueta cayó al suelo y quedó empapada..el camarero nos miró como;servicio;1
340;El trato recibido por el encargado fue muy malo,;servicio;1
341;Estuvimos en una comida familiar hace un par de dias, fuimos de los primeros en llegar y los camareros estaban aun desubicados  (aunque centrados al 100% tampoco estuvieron durante la comida ) probamos una gran variedad de platos, desde los mas sencillos y habituales como la;servicio;1
342;El servicio y la comida muy buenos.;comida;5
343;En mi caso probé el tartar de atún y el arroz de carabinero compartido.;comida;3
344;Buen producto y buen servicio.Quizas lo peor es el descampado donde tuvimos que aparcar.Quizas se espera mas para un local de esta categoríaCreo;comida;5
345;El lugar es precioso, la atención que nos dieron fue muy buena y, la comida, espectacular.;servicio;5
346;Finalmente pude ir a conocer el restaurante, Peña que de noche y en medio de una tormenta muy fuerte.Me ha encantado la atención, los camareros súper profesionales y senior.La carta es muy completa y además te aconsejan muy bien.Hemos cenado estupendamente, pero;servicio;4
347;Aunque las fotos no tienen precio, es un fantástico lugar, la comida es de muy buena calidad, me quedé con ganas de probar la tarta de queso y el servicio es un poco peculiar pero es un lugar para visitar.;servicio;5
348;La materia prima es fresca y de sabor estupendo, muy bien preparada.;comida;4
349;Las raciones varían, algunas nos parecieron un poco escasas (la ensalada de tomate y espárragos) y otras generosas (los pescados eran grandes, claro que;comida;4
350;Por todo lo demás, genial, buen y rápido  servicio, buena comida y producto de calidad.Pescaderias coruñesas no fallan  buenísimos los pescados.Dela para ir con niños.;servicio;4
351;Comida super buena con preferenzia en pescado, un poquitin mas caro de lo normal pero se gana en calidad.;precio;5
352;la calidad de la comida es excepcional, asi como el precio que sube bastante.;comida;5
353;Es muy grande y dan servicio a muchas mesas a la vez, pero las salas están bien diferenciadas y;servicio;3
354;Nos colocaron en el exterior con cagadas de pájaros en las sillas de plástico y hojas en el mantel, mucho camarero pero ninguno limpiaba ni se ocupaba de atender la mesa con prontitud.;servicio;1
355;Personal amable, muy profesional y con buen servicio.;servicio;5
356;Materia prima excelente, y bien tratada.;comida;5
357;Platos clásicos.;comida;3
358;Pescados buenos, la carne también, arroces, y de postre la tarta templada de queso.Buen cocinado;comida;4
359;La comida del Filandon es buenísima.;comida;5
360;El pulpo, el Rape, el salpicón de marisco, todo rico, rico.Los camareros muy amables.;comida;5
361;La comida excelente, el ambiente muy agradable y el trato exquisito, .;servicio;5
362;Croquetas de carabinero, almejas, sonsos de temporada, lenguado y rodaballo todo excelente.;comida;5
363;Buen servicio, buena carta de vinos y tarta de queso y de limón muy ricas!;comida;5
364;La calidad del pescado y marisco muy buena el sason delicioso.;comida;5
365;El lenguado la paella negra.;comida;3
366;Las gambas con pizza lo postres wow el pie de queso  una carta de vinos muy aceptable familiar y en un lugar muy lindo Muy bien puesto y el;comida;5
367;La comida buena: ensalada normal normal, gambas muy buenas, calamar bueno sin alaracas, besugo bueno de presentación punto y materia, carne excelente de materia y punto, postres buenos.;comida;4
368;80 € por una cena lamentable.;precio;1
369;El lugar me parece impresionantemente bonito y la comida de una muy buena calidad y cuando llegas a los postres, para qué hablar.;comida;3
370;Hemos ido varias veces a cenar por diversos motivos y en todas nos sigue sorprendiendo la amabilidad de todos los camareros, te atiendan o no directamente.;servicio;4
371;La comida muy buena.;comida;5
372;La carne perfecta.;comida;5
373;Por otra parte, la comida está de 10 (el rodaballo estaba exquisito).;comida;5
374;Como es lógico, el precio está por encima de la;precio;1
375;Fuimos en familia (7 comensales + 3 carritos de bebé) y, en primer lugar, muy buena la atención del personal de sala, muy atentos con nosotros para que estuviésemos cómodos.La comida de notable calidad, empezando por la ensaladilla rusa y las rabas y los;servicio;4
376;Personal profesional y atento.;servicio;5
377;Fui por una comida familiar un domingo de agosto.;comida;3
378;Trato excelente buen producto y muy bien trabajado.;comida;5
379;No dejéis de probar la tarta de manzana!;comida;3
380;La comida es muy buena.;comida;5
381;Buenos pescados a la plancha, aunque las raciones de los entrantes algo escasas, servicio bueno pero demasiado pendiente del “pijerio” y algo desbordado.;comida;4
382;Solo trabajan con productos de calidad y todos los platos que ofrecen son espectaculares.;comida;5
383;Excelente restaurante con carta de pescados y mariscos excepcional.;comida;5
384;Todos los platos están muy bien elaborados.;comida;5
385;Recomiendo la tarta de queso de postre.;comida;3
386;El trato recibido por parte de cada persona que nos atendió magnífico y la comida  TODO  lo que probamos de 10 .;servicio;5
387;Servicio: 0-1 estrellasPrecio: 1-2 estrellasCalidad: 2-3 estrellasDespués de tanto tiempo esperando ir sólo me queda decir DECEPCIÓN.El servicio es horrible para un restaurante de categoría: vino sin dar a probar, cuchillos cogidos por la parte de cortar, tratamiento antipático.Precio caro;precio;2
388;La guarnición más pobre no puede ser, te plantan;comida;1
389;El trato del personal exquisito.;servicio;5
390;Desde los aparcacoches pasando por la recepción y los camareros .;servicio;3
391;La comida bastante bien salvo el postre que fuimos especialmente por el postre de queso y dijeron que se había agotado siendo las 23:30h  También otro fallo;comida;4
392;Inconcebible en restaurante que se pretende de nivel.Los camareros casi te tiran la carta.;servicio;1
393;Malísimo;comida;1
394;Quizás en otro tiempo fue bueno  hoy acumula una cantidad de despropósitos que lo convierten en un restaurante de postureo, por muchos coches buenos que haya en el parking.No voy a hablar del trato altivo de los camareros (alguno parece que te perdona la;servicio;2
395;Qué lástima, solemos ir desde hace años y el cambio de dirección lo ha echado a perder.. Mal servicio.;servicio;1
396;Primera vez en este espectacular restaurante, ambiente muy agradable, atención excelente y la comida fenomenal, repetible y recomendable 100%.;servicio;5
397;Muy buena presentación de  platos y atención del servicio .;servicio;5
398;El único pero es que el precio es algo elevado .;precio;3
399;Comida normalita, incluyendo los conocidos congelados.;comida;2
400;Atención de los empleados buena.;servicio;3
401;Y además la comida está muy buena, de notable alto.;comida;4
402;Muy buen pescado.;comida;4
403;El postre normalito, pero bueno de sabor;comida;2
404;Ya hemos ido en otras ocasiones.. Y qué podemos decir superior como siempre.Unos carabineros top, rodaballo top, lubina extraordinaria y entrecot en su punto y delicioso.Los postres como siempre de primera.Es un trasatlántico de la restauración.;comida;5
405;Hacen un pescado y arrroz riquisimo.;comida;5
406;Es caro pero merece muchísimo la pena.;precio;2
407;Apuesta segura por la decoración, el trato recibido y la calidad de la materia prima.;servicio;5
408;Precios acordes a la calidad, lo bueno se paga.;precio;5
409;Excelentes arroces, pescados y postres.;comida;5
410;estuvimos este sabado cenando pues hace un año estuvimos alli y hemos detectado un bajón respecto al año pasado.La calidad de la comida sigue siendo buena, pero encontramos que el servicio estaba desbordado por lo que en un sitio como este es un punto;servicio;2
411;Para el peque menú infantil que más bien parecía un plato combinado cutremente preparado.;comida;1
412;Nuestros platos eran más bien;comida;3
413;La calidad de la comida sigue siendo buena, pero ha cambiado el servicio, están desbordados.;servicio;3
414;Destacar que la comida es excelente, gran calidad y bien cocinada.;comida;5
415;Buen trato y rapidez de los empleados.;servicio;5
416;Calidad-precio, correcto.;precio;4
417;Queríamos pescado a la brasa y pedimos consejo.;comida;3
418;Muy rápidos en la atención al llegar.;servicio;5
419;No es un lugar barato, pero cuesta lo que vale.Jardín increible.;precio;3
420;Servicio perfecto.Platos sin pretensiones, comida con genero excelente y perfecta.;comida;5
421;Todo muy rico y con productos de calidad,el pulpo a la brasa de 10 y el bonito encebollado de 12Para repetir unas cuantas vecesAtención y servicio correcto,trato perfectoPara recomendar;servicio;4
422;Cuando vas a un restaurante bien decorado con una terraza agradable y la comida está buena, un mal servicio,muy mal atendido hace que la valoración de un restaurante que podría ser muy bueno pase a ser malo y aún más si no es barato.;precio;4
423;Excelentes calidades.;comida;5
424;Pescado muy bueno destacando el lenguado.;comida;4
425;Carnes muy ricas.;comida;5
426;Disponen de una parrilla que le da un toque especial a muchos platos.;comida;5
427;La semana pasada celebramos el cumpleaños de mi madre y nos decepcionó mucho.El servicio malo, y la comida dejó bastante que desear.;servicio;1
428;En concreto las 3 hamburguesas que se pidieron estaban frías, muy hechas y con la carne que parecía congelada y descongelada varias;comida;1
429;El servicio amable y eficaz.;servicio;5
430;La comida , el pulpo muy bueno, las croquetas tambien, la pizza de gambas pinta mejor de lo que luego resulta.;comida;4
431;Después tomamos un arroz;comida;3
432;La comida estuvo deliciosa, dónde sobresalen los pescados a la brasa y los postres.;comida;5
433;Mal tono y formas para un;servicio;1
434;Entrantes correctos: croquetas, piparras y verduras con carabinero.;comida;3
435;Con los primeros ya servidos y después de haber insistido al camarero para que;servicio;1
436;Trato inmejorable, producto de primera calidad en un ambiente agradable.;servicio;5
437;Zona muy amploa para que jueguen los niños y con terraza para poder vigilarlos, la comida muy buena y el precio controlado.;precio;4
438;Excelente calidad precio, muy buena materia prima, amplia carta de vinos  servicio excelente.;comida;5
439;La comida estaba deliciosa y a un precio razonable;precio;5
440;Un lugar acogedor y relajado;ambiente;5
441;Personal rápido y atento;servicio;5
442;El restaurante estaba impecablemente limpio;limpieza;5
443;La presentación de los platos era impresionante y la comida estaba deliciosa;comida;5
444;El precio era alto pero justificado por la calidad de la comida y el servicio;precio;3
445;Fue muy animado y divertido;ambiente;5
446;Nos hicieron sentir como en casa;servicio;5
447;El restaurante estaba impecable;limpieza;5
448;La comida era innovadora y sorprendente;comida;5
449;El precio era elevado pero la experiencia valió la pena;precio;4
450;El ambiente era elegante y sofisticado;ambiente;5
451;El servicio fue amable y servicial en todo momento;servicio;5
452;El restaurante estaba muy bien cuidado y limpio;limpieza;5
453;La comida era deliciosa y tenía un sabor único;comida;5
454;El precio era justo y razonable para la calidad de la comida y el servicio;precio;5
455;El ambiente era tranquilo y relajante;ambiente;5
456;El servicio fue rápido y eficiente en todo momento;servicio;5
457;La limpieza del restaurante era impecable y muy cuidada;limpieza;5
458;La comida tenía una presentación impresionante y sabía increíble;comida;5
459;El precio era un poco alto pero valió la pena por la calidad de la experiencia gastronómica;precio;3
460;El ambiente era acogedor y romántico;ambiente;5
461;El servicio fue excepcional y nos atendieron con mucha amabilidad;servicio;5
462;El restaurante estaba limpio y ordenado en todo momento;limpieza;4
463;La comida era fresca y tenía un sabor increíble;comida;5
464;El precio era un poco elevado pero la calidad del servicio lo justificaba;precio;3
465;El ambiente era vibrante y divertido;ambiente;5
466;El servicio fue rápido y atento en todo momento;servicio;5
467;La limpieza del restaurante era impecable y estaba muy bien cuidada;limpieza;5
468;La comida era única y tenía un sabor excepcional;comida;5
469;El precio era elevado pero la experiencia gastronómica lo justificaba;precio;4
470;El ambiente era agradable y relajante;ambiente;5
471;El servicio fue amable y servicial durante toda la cena;servicio;5
472;El restaurante estaba muy bien cuidado y limpio en todo momento;limpieza;5
473;Todo fresco y tenía un sabor increíblemente bueno;comida;5
474;El precio era justo y razonable para la calidad del servicio y la comida;precio;5
475;El ambiente era animado y divertido;ambiente;4
476;El servicio fue excepcional y nos hicieron sentir muy bienvenidos;servicio;5
477;La limpieza del restaurante era impecable y muy bien cuidada;limpieza;5
478;La comida era innovadora y tenía un sabor excepcional;comida;5
479;El precio era un poco elevado pero la experiencia valió la pena;precio;3
480;La comida estaba deliciosa y a un precio razonable;precio;4
481;Caro pero justificado por la calidad de la comida y el servicio;precio;3
482;Precio elevado pero la experiencia valió la pena;precio;4
483;Precio justo y razonable para la calidad de la comida y el servicio;precio;5
484;El precio era un poco alto pero valió la pena por la calidad de la experiencia gastronómica;precio;4
485;El precio era un poco elevado pero la calidad del servicio lo justificaba;precio;4
486;El precio era justo para lo que ofrecía el restaurante;precio;5
487;El precio era demasiado caro para lo que ofrecía el restaurante;precio;1
488;El precio era muy asequible y la calidad de la comida era buena;precio;4
489;El precio era caro pero la comida era excelente;precio;4
490;La comida tenía un sabor único y estaba bien presentada;comida;5
491;La comida era fresca y tenía un sabor increíble;comida;5
492;La comida tenía una presentación impresionante y sabía increíble;comida;5
493;La comida era deliciosa y tenía un sabor único;comida;5
494;La comida era innovadora y sorprendente;comida;5
495;La comida era fresca y tenía un sabor increíblemente bueno;comida;5
496;La comida era deliciosa y estaba bien preparada;comida;5
497;La comida era sabrosa y tenía una buena presentación;comida;5
498;La comida era excepcional y tenía un sabor único;comida;5
499;La comida era buena pero no excepcional;comida;3
500;El servicio fue rápido y atento durante toda la cena;servicio;5
501;El servicio fue amable y servicial durante toda la cena;servicio;5
502;El servicio fue excepcional y nos hicieron sentir muy bienvenidos;servicio;5
503;El servicio fue rápido y eficiente en todo momento;servicio;5
504;El servicio fue excepcional y nos atendieron con mucha amabilidad;servicio;5
505;El servicio fue rápido y atento en todo momento;servicio;5
506;El servicio fue amable y servicial en todo momento;servicio;5
507;El servicio fue excepcional y nos hicieron sentir como en casa;servicio;5
508;El servicio fue excelente y nos hicieron sentir muy bien atendidos;servicio;5
509;El servicio fue atento y cordial durante toda la cena;servicio;5
510;Acogedor y relajado;ambiente;5
511;Ambiente era animado y divertido;ambiente;5
512;El sitio era elegante y sofisticado;ambiente;5
513;Tranquilo y relajante;ambiente;5
514;Agradable y relajante;ambiente;5
515;El ambiente era vibrante y divertido;ambiente;5
516;El ambiente era acogedor y romántico;ambiente;5
517;Demasiado ruidoso y agitado;ambiente;1
518;El ambiente era íntimo y acogedor;ambiente;4
519;El ambiente era moderno y sofisticado;ambiente;4
520;La limpieza del restaurante era impecable y estaba muy bien cuidada;limpieza;5
521;El restaurante estaba impecablemente limpio;limpieza;5
522;El restaurante estaba muy bien cuidado y limpio;limpieza;5
523;Los baños estaban sucios;limpieza;1
524;Daba asco verlo;limpieza;1
525;La atmósfera del restaurante era muy acogedora y relajante perfecta para una cena tranquila.;ambiente;4
526;La iluminación y la música crearon una atmósfera relajante y acogedora.;ambiente;5
527;El decorado era moderno y elegante, lo que lo hizo sentir sofisticado.;ambiente;5
528;El restaurante tenía un ambiente animado y festivo, perfecto para una noche de fiesta.;ambiente;5
529;La decoración rústica y los muebles de madera le dieron al lugar una sensación acogedora y hogareña.;ambiente;5
530;La vista del paisaje desde la ventana agregó un toque pintoresco a la cena.;ambiente;4
531;La música de jazz en vivo creó una atmósfera de club exclusivo.;ambiente;3
532;El restaurante tenía una decoración minimalista y limpia, lo que lo hacía sentir muy moderno.;ambiente;4
533;La brisa del mar que llegaba desde la terraza le daba al lugar una sensación tropical y relajante.;ambiente;4
534;El jardín al aire libre creó una sensación de estar en un oasis lejos de la ciudad.;ambiente;3
535;La decoración temática del lugar realmente te transportaba a otro lugar, una experiencia única.;ambiente;5
536;La decoración del lugar era impresionante, cada detalle era cuidadosamente elegido para crear una atmósfera relajante y elegante.;ambiente;5
537;Me encantó la música suave de fondo que creó una sensación de tranquilidad y elegancia en el restaurante.;ambiente;5
538;El diseño del espacio es moderno y sofisticado, lo que hace que la experiencia sea aún más placentera.;ambiente;4
539;El restaurante tiene una iluminación cálida y acogedora que hace que te sientas como en casa.;ambiente;5
540;La vista desde el comedor era impresionante, con grandes ventanales que daban a un paisaje hermoso y relajante.;ambiente;5
541;El espacio estaba perfectamente decorado con una mezcla de elementos modernos y clásicos que crearon una atmósfera única y acogedora.;ambiente;5
542;La disposición de las mesas y sillas en el restaurante permitió una excelente circulación, lo que hizo que el espacio se sintiera más amplio y cómodo.;ambiente;5
543;La música en vivo era perfecta, con una banda que tocaba melodías suaves y relajantes que se integraban perfectamente con el ambiente del restaurante.;ambiente;4
544;El restaurante tenía una decoración minimalista pero muy elegante que creaba un ambiente tranquilo y sofisticado.;ambiente;4
545;El diseño del lugar era una combinación perfecta de moderno y clásico, lo que lo hacía muy atractivo y acogedor.;ambiente;5
546;Las plantas y flores del restaurante añadían un toque natural y fresco que creaba una atmósfera agradable y relajante.;ambiente;5
547;El restaurante siempre luce impecable y organizado.;limpieza;5
548;Me impresionó el alto nivel de higiene en el establecimiento.;limpieza;5
549;Los espacios del restaurante siempre están relucientes.;limpieza;5
550;La pulcritud en la cocina y en los baños es evidente.;limpieza;5
551;Se nota que la atención a la higiene es una prioridad en este restaurante.;limpieza;5
552;El ambiente del local es fresco y libre de malos olores.;limpieza;5
553;Todo está perfectamente ordenado y en su lugar correspondiente.;limpieza;5
554;Es evidente que se lleva un riguroso control de calidad en la limpieza del restaurante.;limpieza;5
555;El restaurante siempre está impecablemente presentado.;limpieza;5
556;La atención al detalle en cuanto a la limpieza es impresionante.;limpieza;5
